relative_sec,framework,test_type,http_200,vusers_failed,vusers_created,vusers_completed,request_rate,success_percent,error_percent
30,fastapi-sync,breakpoint-write,135,0,45,45,16,100.0,0.0
40,fastapi-sync,breakpoint-write,195,0,65,65,25,100.0,0.0
50,fastapi-sync,breakpoint-write,264,0,89,87,33,100.0,0.0
60,fastapi-sync,breakpoint-write,337,0,112,113,36,100.0,0.0
70,fastapi-sync,breakpoint-write,417,0,139,139,43,100.0,0.0
80,fastapi-sync,breakpoint-write,491,0,163,164,49,100.0,0.0
90,fastapi-sync,breakpoint-write,517,0,190,166,57,100.0,0.0
100,fastapi-sync,breakpoint-write,559,0,229,170,65,100.0,0.0
110,fastapi-sync,breakpoint-write,66,23,275,21,33,47.72727272727273,52.27272727272727
120,fastapi-sync,breakpoint-write,0,314,326,0,33,0.0,100.0
130,fastapi-sync,breakpoint-write,0,326,380,0,38,0.0,100.0
140,fastapi-sync,breakpoint-write,0,377,420,0,43,0.0,100.0
150,fastapi-sync,breakpoint-write,0,423,477,0,48,0.0,100.0
160,fastapi-sync,breakpoint-write,0,476,538,0,54,0.0,100.0
170,fastapi-sync,breakpoint-write,0,537,620,0,63,0.0,100.0
180,fastapi-sync,breakpoint-write,0,620,704,0,71,0.0,100.0
190,fastapi-sync,breakpoint-write,0,706,789,0,80,0.0,100.0
200,fastapi-sync,breakpoint-write,0,787,871,0,88,0.0,100.0
210,fastapi-sync,breakpoint-write,0,873,955,0,97,0.0,100.0
220,fastapi-sync,breakpoint-write,0,955,1069,0,107,0.0,100.0
230,fastapi-sync,breakpoint-write,0,1069,1232,0,125,0.0,100.0
240,fastapi-sync,breakpoint-write,0,1230,1396,0,141,0.0,100.0
250,fastapi-sync,breakpoint-write,0,1396,1568,0,158,0.0,100.0
260,fastapi-sync,breakpoint-write,0,1570,1734,0,175,0.0,100.0
270,fastapi-sync,breakpoint-write,0,1734,1895,0,191,0.0,100.0
280,fastapi-sync,breakpoint-write,0,1893,1775,0,178,0.0,100.0
290,fastapi-sync,breakpoint-write,0,2039,1272,0,129,0.0,100.0
300,fastapi-sync,breakpoint-write,0,1184,765,0,77,0.0,100.0
310,fastapi-sync,breakpoint-write,0,591,47,0,46,0.0,100.0
